"","P01-A06-HLM094","P01-A07-HLM102","P01-A09-HLM053","P01-A11-HLM137","P01-A12-HLM131","P01-B10-HLM020","P01-C01-HLM080","P01-C09-HLM035","P01-D01-HLM079","P01-D04-HLM073","P01-D06-HLM093","P01-D07-HLM105","P01-D08-HLM086","P01-E02-HLM042","P01-E06-HLM100","P01-E07-HLM103","P01-E10-HLM023","P01-E12-HLM138","P01-F01-HLM066","P01-F06-HLM081","P01-F12-HLM140","P01-G03-HLM067","P01-G05-HLM083","P01-G06-HLM075","P01-H01-HLM063","P01-H04-HLM110","P01-H08-HLM052","P01-H11-HLM124","P01-H12-HLM148","P02-A01-HLM146","P02-A05-HLM167","P02-A09-HLM134","P02-A10-HLM405","P02-A11-HLM413","P02-A12-HLM421","P02-B01-HLM145","P02-B04-HLM001","P02-B08-HLM003","P02-B10-HLM406","P02-B11-HLM414","P02-B12-HLM422","P02-C10-HLM407","P02-C11-HLM415","P02-C12-HLM423","P02-D09-HLM400","P02-D10-HLM408","P02-D11-HLM416","P02-D12-HLM424","P02-E09-HLM401","P02-E10-HLM409","P02-E11-HLM417","P02-E12-HLM425","P02-F09-HLM402","P02-F10-HLM410","P02-F11-HLM418","P02-F12-HLM426","P02-G03-HLM036","P02-G09-HLM403","P02-G10-HLM411","P02-G11-HLM419","P02-G12-HLM427","P02-H02-HLM176","P02-H04-HLM162","P02-H06-HLM152","P02-H09-HLM404","P02-H10-HLM412","P02-H11-HLM420","P02-H12-HLM428","P03-A01-HLM429","P03-B01-HLM430","P03-C01-HLM431","P03-D01-NEC","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU487",0,0,0,0,0,0,0,0,0,0,0,0,0,1.28325227456466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31573950196366e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","?"
"OTU541",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015205551408587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pyogenes"
"OTU24",0.0104950946840064,0.00410029723344257,0.0158458701867835,0.00969818020417221,0.0169820635181833,0.0126894692830409,0.0133932313056305,0.0112287817335136,0.00141000404852648,0.00953329757069507,0.00684397163120567,0.0253918589608592,0.00373113702946216,0.0152322044990825,0.0173591541357621,0.0092930933369423,0.0197197655708631,0.0135271552594387,0.00659280285688124,0.0173591527229429,0.0195766649457925,0.0215947460205558,0.0136702568351284,0.0326179857344874,0.0093941717791411,0.0137676594978854,0.0133542812254517,0.0136339148812731,0.00755962317005315,0.0267617704791131,0.02457046603032,0.00816294182913298,0.00108621313915597,0.00102008288173414,0.00104181809371517,0.00672520082196899,0.0100292907196619,0.00996250238758256,0.0162875710804224,0.00138230647709321,0.000521269663967234,0.00395690312738368,0.00309432351685873,0,0,0.00434999169848913,0.000250400641025641,0,1.46087769531935e-05,1.89356880913458e-05,0,0.000559910414333707,0.00103199174406605,0.00014404316056884,0.00192420969958767,0.000194133634534609,0.0171100958523694,0,7.94902582596654e-05,0.00474194014746277,0.000122826411187731,0.0159022466798102,0.0174907991108844,0.0217081696948772,0,0.000688373373717905,0.00867507886435331,0,0.000539956803455724,0.00029385836027035,0.000137652564926126,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","?"
"OTU79",0.000380257053768347,0.000243883850316287,0.00269887502338134,0.000554815801154017,0.00115188415336515,0.000990476809040942,0.00715758418961731,0.00155850983926694,0.00330862336139381,0.00024522951950341,5.31914893617021e-05,0.000150425704744427,0.000663313249682162,0.00119342461534513,0.000315620984286584,0.000112780258943475,0.00335905476668663,0.00118032583205206,0.0020144675396026,0.00225606316976875,8.26019617965927e-05,0.00129865311120181,0.000207125103562552,0.000714829606377523,0.000234321745057941,0.00122979093554096,0.000270031421838178,0.00223778542124239,0.0117903259847656,0.00107821182715435,0.00235822571588995,0.0014265335235378,2.0115058132518e-05,1.5938795027096e-05,0.000775306488346174,0.00280216700915375,0.000537614474806273,0.000552913856021232,0,0,0,0.0003813882532418,0.000177834684876938,0,0,0.00132824173999668,0.000100160256410256,0,0,0,0,0,0,0,0.000235617514235225,7.05940489216759e-05,0.000918211950192601,0,4.18369780314028e-06,0.000202399884342923,8.77331508483796e-05,0.00201486231774162,0.00142112742775936,0.00025894437011782,0,0,0,0,0.000269978401727862,0.000133571981941068,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","?"
"OTU440",0,0,0,0,0,0,0,0,0,1.53268449689631e-05,0,3.00851409488853e-05,0,0,2.25443560204703e-05,0,0,0,0,0,8.26019617965927e-05,0,0,0,0,0,0,4.14404707637479e-05,2.87802912565475e-05,0,0,0,0,0,0,0,3.70768603314671e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201558720773985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"OTU9",0.0706517605901589,0.00103650636384422,0.0350586537690725,0.0147137150466045,0.0521309856837255,0.000227322546337265,0.1548183783965,0.0561251314405889,0.00128436012341026,0.0542876848800674,0.000230496453900709,0.00658864586780589,0.0175778011165773,0.0156043476587062,0.0192979687535226,0.0102630035638562,0.0595586249016361,0.0285607790150492,0.0561303909898361,0.00739487372313091,0.00299432111512648,0.019665318541056,0.101335956917978,0.0343429006542245,0.0999914792092706,0.0318545847205975,0.0544236056559309,0.0179644440760847,0.00610142174638807,0.00953802770175002,0.108613138686131,0.015810746552544,0.00199139075511928,7.96939751354798e-05,0.00104181809371517,0.0151317018494302,0.0191501983612028,0.00966091301157098,0.00255889520714866,0,5.58503211393465e-05,0.000333714721586575,0.000320102432778489,0,0,0.00119541756599701,0.00100160256410256,0,0,8.20546483958316e-05,0,0,0.00288957688338493,0.000261896655579708,0,0,0.00526292215354295,0,0.00074469820895897,0.000665028191412462,0,0.0113308923890201,0.0202601756367744,0.0056536187475724,0,0.000114728895619651,0.00991437584497521,0.000782639630024902,0.000134989200863931,5.34287927764272e-05,0.00217185157994555,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","?"
"OTU2",0.137323497350876,0.0857861443487539,0.311760147502873,0.142121615623613,0.15700181010367,0.232843236748313,0.0278089746383492,0.191903259726604,0.0613281958928397,0.147244999616829,0.0757446808510638,0.139745479707572,0.109584876457907,0.144635363866182,0.227675451450729,0.157576577795823,0.0866542170231258,0.0741430989765333,0.0357110154747734,0.327693175408911,0.201342281879195,0.104300397016808,0.0545774647887324,0.249630930366272,0.0325920245398773,0.123638981373167,0.0966467007069914,0.149434337574075,0.0499433987605288,0.18003372867767,0.214059517125211,0.0566650816294183,0.00354025023132317,0.214010200828817,0.00942481949895818,0.0446478610125163,0.182696229283304,0.257567380093091,0.261982128350934,0.375724065297525,0.0067206553104347,0.0429061784897025,0.100369896144544,0,0,0.0147102772704632,0.00100160256410256,3.11106502125894e-05,2.9217553906387e-05,0.000126237920608972,3.63609919278598e-05,0,0.0116271069831441,0.00161066443181521,0.0614569016296878,0.00531220218135611,0.258622234166443,1.37421154612541e-05,0.000418369780314028,0.0983374295214688,0.00796617009703286,0.255584201746214,0.108042123674525,0.184670493289025,0,0.00413024024230743,0.00816809373591708,7.11490572749911e-05,0.035097192224622,0.0313092725669863,0.000321189318160962,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","?"
"OTU225",0.000354906583517124,3.04854812895359e-05,0.000400823023274457,0.000133155792276964,0.000164554879052164,6.49492989535044e-05,0.000268199875957557,0.000413098993540634,0,0.000459805349068894,3.54609929078014e-05,0.000120340563795541,2.76380520700901e-05,0.000192487841184699,0.000428342764388935,0.000203004466098254,0.000328858508626663,7.76530152665828e-05,0.000274700119036718,6.26684213824654e-05,0.000103252452245741,0.000222626247634596,0.00025890637945319,0.000372954577240447,0.000149113837764145,0.000239959206934821,0.000441869599371563,0.000186482118436865,0,0.000138232285532609,0.000830993823694554,0.00011887779362815,0,1.5938795027096e-05,0,0.000186811133943583,0.000352230173148938,0.000140741708805404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201558720773985,0,0,0,0,0.000194986675910479,0.000218634988886055,6.47360925294549e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus salivarius"
"OTU329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.52348402099996e-05,0.000108714221373216,0,0,6.19514713474445e-05,3.7104374605766e-05,0,0,0,0,0,0.000145041647673118,0,0,2.24592925322852e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6412086999834e-05,0.000200320512820513,0,0,0,0,0,0,0,0,0,2.23954134193317e-05,0,0,0,0,0,7.28783296286849e-05,4.31573950196366e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus mutans"
"OTU505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12780258943475e-05,0,0,0,0.000564015792442188,0,0,0,0,0,0,0,2.07202353818739e-05,0.000105527734607341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","?","?"
"OTU543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000501347371059723,2.06504904491482e-05,0,0,0,2.13019768234492e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00801282051282e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","?","?"
"OTU34",0.00202803762009785,0.00346010212636232,0.00163001362798279,0.00110963160230803,0.00956063847293072,0.0107003970025899,0.000352012337194294,0.010815682739973,0.00245703675782831,0.0043681508161545,0.000620567375886525,0.00333945064532627,0.0072688076944337,0.00363160393701798,0.00586153256532227,0.00307890106915685,0.00241945902775331,0.00218981503051764,0.000366266825382291,0.015353763238704,0.00470831182240578,0.00166969685725947,0.00271851698425849,0.00497272769653929,0.00168285616905249,0.00722877110891149,0.00169383346425766,0.00327379719033608,0.000681133559738291,0.00257112051090653,0.00451431779898933,0.000158503724837534,0.000482761395180432,0.000812878546381894,0.00147792799340989,0.000747244535774332,0.00722998776463609,0.00490585384978838,0.00601137286758733,0.000658241179568194,0.000614353532532812,0.00715102974828375,0.00992317541613316,0,0,0.000896563174497759,0.000100160256410256,0,0,4.41832722131401e-05,0,0,0.00130718954248366,0.00017023282612681,0.019752601610053,0.00437683103314391,0.00736809101496014,0,2.09184890157014e-05,0.029319068960532,0.00278991419697847,0.00890439153324523,0.0024049848777466,0.00677571101808295,0,0.000642481815470044,0.000225326723749437,0,0.00310475161987041,0.00253786765688029,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","?"
"OTU258",2.53504702512232e-05,0,0,0,0,0,0,0,1.39604361240245e-05,0,1.77304964539007e-05,0,0,1.28325227456466e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-05,0,0,0,0,6.37551801083838e-05,2.42283277608179e-05,0.000186811133943583,0,0,0.000121852152721365,0,0,0,0,0,2.11407551477739e-05,6.6412086999834e-05,5.00801282051282e-05,0.000134812817587888,0,0,0,0.000559910414333707,0,0,0.000196347928529354,1.7648512230419e-05,0,1.37421154612541e-05,4.18369780314028e-06,0,7.01865206787037e-05,2.16651862122755e-05,0,0,0.000334522747546833,2.29457791239302e-05,0.000225326723749437,7.11490572749911e-05,0,8.01431891646408e-05,0,0,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus"
"OTU252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112721780102351,0,0,0,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106027881405851,0.000282376195686704,0,0,0,0,0.000596585425768981,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Dolosigranulum","?"
"OTU35",0.00408142571044693,0.00108223458577852,0.00216444432568207,0.00133155792276964,0.000608853052493006,0.0358926063341804,0.00050287476742042,0.000901306894997747,0.0400106099314543,0.00171660663652387,0.00349290780141844,0.000992809651313216,0.00351003261290144,0.00400374709664173,0.0035620082512343,0.00171425993594081,0.00113925983345666,0.000559101709919396,0,0.0108416368991665,0.000826019617965927,0.00341360246373047,0.00168289146644573,0.00534568227377974,0.000617757327880027,0.00269954107801674,0.00216025137470542,0.00281795201193486,0.00185153207083789,0.00281993862486522,0.00687254351487928,0.00134728166111904,0.000261495755722734,0.000653490596110934,0.00210786451519116,0.000560433401830749,0.00216899632939083,0.00252329777929689,0.0158407798537774,0,0.00163827608675417,0.00691266209000763,0.0438184663536776,0,0,0.00474846422048813,5.00801282051282e-05,0,0,1.26237920608972e-05,0,0,0.00240798073615411,0.000104758662231883,0.0411937954054585,0.00335321732377961,0.0202678491444952,0,0.000112959840684788,0.0292901546913402,0.0081591830288993,0.010615941244015,0.00311554859162628,0.00433731819947348,0,0.0012161262935683,0,7.11490572749911e-05,0.00310475161987041,0.00347287153046777,6.11789177449451e-05,0,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","Gemella","Gemella haemolysans"
"OTU233",7.60514107536695e-05,1.52427406447679e-05,5.34430697699276e-05,2.21926320461607e-05,0,0.00095800215956419,0,0.000150217815832958,0.000125643925116221,9.19610698137788e-05,0,0.000270766268539968,5.52761041401802e-05,6.41626137282328e-05,0.000157810492143292,0.000338340776830424,9.39595738933324e-05,0,0,0.000376010528294792,8.26019617965927e-05,3.7104374605766e-05,2.5890637945319e-05,0.000155397740516853,0.000106509884117246,0.000119979603467411,0.000171838177533386,0.000497285649164974,5.7560582513095e-05,0,4.49185850645705e-05,0,0,4.78163850812879e-05,0,0.000186811133943583,0.000129769011160135,4.02119168015441e-05,0,0,5.58503211393465e-05,0.000238367658276125,0.00145824441599089,0,0,0,0,0,0,0,0,0,0.000343997248022016,2.61896655579708e-05,0.000746122128411545,5.29455366912569e-05,0.000559885335483293,0,0,0.00124331357524939,5.26398905090277e-05,0.000628290400155989,0,0.000345259160157093,0,0,0,0,0.000674946004319654,0.000240429567493922,0,0,"Bacteria","Firmicutes","Bacilli","Staphylococcales","Gemellaceae","?","?"
"OTU122",0.000278855172763455,7.62137032238396e-05,0.000133607674424819,2.21926320461607e-05,0,0.00181046170832894,1.67624922473473e-05,0.000262881177707676,0.00161941059038684,0.000137941604720668,1.77304964539007e-05,0.000180510845693312,0.000165828312420541,0.000102660181965173,6.76330680614108e-05,9.02242071547796e-05,7.04696804199993e-05,0.000279550854959698,9.15667063455728e-05,0.000564015792442188,0.000144553433144037,0.000111313123817298,5.17812758906379e-05,0.00161613650137527,6.39059304703477e-05,0.00125978583640781,7.36449332285939e-05,2.07202353818739e-05,3.83737216753967e-05,0,0.000157215047725997,0.00011887779362815,0.00010057529066259,0.000175326745298055,4.84566555216359e-05,0,0.000111230580994401,0.000160847667206177,0,6.58241179568194e-05,0,0.0001906941266209,0.00106700810926163,0,0,0,0,0,0,0,0,0.000559910414333707,6.87994496044032e-05,2.61896655579708e-05,0.00125662674258787,0.000229430658995447,0.00109737525754725,0,4.18369780314028e-06,0.00130114211363308,0.00038602586373287,0.000996598565764673,0.000236854571293226,0.000107893487549092,0,4.58915582478603e-05,0,0,0,0,1.52947294362363e-05,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia defectiva"
"OTU642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000156767893935322,2.74842309225082e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","?"
"OTU364",0,4.57282219343038e-05,0,0,0,0,0.000234674891462863,0,0.00015356479736427,0,0,0,0,0,0,0,0,0,0,0.000626684213824654,0,0,0,0,0,0,0,0.000393684472255605,0,0,6.73778775968557e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Lactobacillus salivarius"
"OTU432",0,0,0,0,0,0,0,1.87772269791197e-05,0,0,0,0,0,0,0,0,0,0,0,0.000313342106912327,2.06504904491482e-05,0,0,0,6.39059304703477e-05,0,0,0,8.63408737696426e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus kitasatonis"
"OTU474",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000250673685529861,0,0,0,0,0,0,0,0,0,2.76464571065218e-05,2.24592925322852e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","?","?"
"OTU311",0,0.000137184665802911,0,0,3.29109758104328e-05,0,3.35249844946947e-05,5.63316809373592e-05,0.000349010903100613,0,0,0,0,0,0.0010595847329621,0,0,0,0,0.000188005264147396,6.19514713474445e-05,0,0,0,0.000127811860940695,0,0,0.000227922589200613,9.59343041884917e-06,2.76464571065218e-05,4.49185850645705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100160256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus mucosae"
"OTU703",0,0,0,0,0,0,0,0,0,1.53268449689631e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010360117690937,3.83737216753967e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus fermentum"
"OTU785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100160256410256,0,0,0,0,0,0,0,0,0,2.23954134193317e-05,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Lactobacillus gastricus"
"OTU634",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63408737696426e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7648512230419e-05,0,0,0,0,0,0,3.64391648143425e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae UCG-006","?"
"OTU495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372964236873731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","Mycoplasmataceae genomosp."
"OTU763",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69797869466662e-05,0,0,0,0,0,0,0,2.13019768234492e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Acholeplasmatales","Acholeplasmataceae","Acholeplasma","?"
"OTU121",0.000329556113265901,1.52427406447679e-05,0.000374101488389493,0.000377274744784731,1.64554879052164e-05,9.74239484302566e-05,6.70499689893893e-05,0.00197160883280757,0.000376931775348662,0.000429151659130968,0.000656028368794326,3.00851409488853e-05,0.000193466364490631,2.56650454912931e-05,2.25443560204703e-05,1.12780258943475e-05,0.000458052922729995,7.76530152665828e-05,0.00128193388883802,0.000752021056589585,6.19514713474445e-05,0.00189232310489407,7.76719138359569e-05,0.000202017062671909,0.000106509884117246,0.00239959206934821,0.00012274155538099,8.28809415274958e-05,0.00250388533931963,0.000165878742639131,0.000291970802919708,0.000475511174512601,0.00020115058132518,0.000191265540325151,0,0.000373622267887166,1.85384301657336e-05,0.000180953625606949,0.00138099106417547,0,1.86167737131155e-05,0.00109649122807018,0.000569070991606203,0,0,0.000962975261497593,0,5.18510836876491e-05,0,0,0,0.000559910414333707,0,2.61896655579708e-05,0.000785391714117416,0.000158836610073771,0,0,8.36739560628057e-06,0.000838513806563539,0.000210559562036111,0.000346642979396408,0.000473709142586452,0.000151050882568728,0,0.000275349349487162,0.0205047318611987,0.000355745286374956,0.00107991360691145,0.00149600619773996,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","?","?"
"OTU531",0,0,0,0,0,0,5.0287476742042e-05,0,0,0,0,0,0,1.28325227456466e-05,2.25443560204703e-05,0,0,0,0,0.000376010528294792,0,0,0,0,0,2.99949008668526e-05,0,0,9.59343041884917e-05,0,0,0,0,0,4.84566555216359e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6660744849102e-05,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia extructa"
"OTU716",0,0,0,0,0,0,0,0,1.39604361240245e-05,0,0,0,0,0,0,1.12780258943475e-05,0,0,0,6.26684213824654e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15786975098183e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Eggerthia","Eggerthia catenaformis"
"OTU659",0,6.09709625790717e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10612061066331e-05,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46587472215137e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","?","?"
"OTU464",0,0,0,0,0,4.05933118459403e-05,0,0,0,0,0.000531914893617021,0,5.52761041401802e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.99949008668526e-05,0,0,0,0,0,0.000435885243303218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92695857058708e-05,1.7648512230419e-05,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","RF39","?","?","?"
"OTU577",0,0,0,0,0,1.62373247383761e-05,0,0,0,0,0,0,0,0,0,0,2.34898934733331e-05,0,0,0,0,0,0,0,0,0,0,0,9.59343041884917e-06,8.29393713195654e-05,2.24592925322852e-05,0,0,0,0,0,0,1.0052979200386e-05,0,0,0,0,0.000284535495803101,0,0,0,0,0,0,0,0,0,0,0,7.85391714117416e-05,0,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Bacilli","RF39","Firmicutes oral clone FM046","?","?"
"OTU388",0,1.52427406447679e-05,0,0,0,0,0,1.87772269791197e-05,9.77230528681716e-05,0,0,0,0,1.28325227456466e-05,0,0,2.34898934733331e-05,6.21224122132662e-05,0,0,2.06504904491482e-05,7.4208749211532e-05,0,0,0,0,0,0.000269363059964361,5.7560582513095e-05,0,2.24592925322852e-05,0,0,0,0,0.0011208668036615,5.56152904972007e-05,0,0,0,0,0,0,0,0,6.6412086999834e-05,0.000150240384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3330372424551e-05,7.28783296286849e-05,0.000107893487549092,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","?","?"
"OTU511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25443560204703e-05,0,0,3.10612061066331e-05,0,0,0,0,0,1.55397740516853e-05,0,0,0,2.07202353818739e-05,9.59343041884917e-05,0,2.24592925322852e-05,0.00011887779362815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16651862122755e-05,0,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","?"
"OTU308",0,0,5.34430697699276e-05,0,1.64554879052164e-05,0,0,0,0.00152168753751867,0,0,0,0,1.28325227456466e-05,0,0,3.52348402099996e-05,4.65918091599497e-05,0,0,0,0,0,1.55397740516853e-05,2.13019768234492e-05,0,2.4548311076198e-05,4.14404707637479e-05,0.000239835760471229,0,0,0,0,0,0,0,0,2.01059584007721e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16651862122755e-05,3.64391648143425e-05,4.31573950196366e-05,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","?"
"OTU673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.69797869466662e-05,0,0,0,0,0,0,0,0,0,0,2.07202353818739e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82195824071712e-05,0,0,0,0,0,0,0,0,0,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Selenomonas","Veillonellaceae bacterium"
