"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"41",0.05,0.914337016574586,0.00651696953194126,0.000651696953194126,"weighted","COPD_IFNpositive"
"42",0.1,0.847486187845304,0.00944199027278684,0.000944199027278684,"weighted","COPD_IFNpositive"
"43",0.15,0.780386740331492,0.0093534485768432,0.00093534485768432,"weighted","COPD_IFNpositive"
"44",0.2,0.717513812154696,0.0115518747401649,0.00115518747401649,"weighted","COPD_IFNpositive"
"45",0.25,0.652513812154696,0.0130712318194353,0.00130712318194353,"weighted","COPD_IFNpositive"
"46",0.3,0.584972375690608,0.0125650509447733,0.00125650509447733,"weighted","COPD_IFNpositive"
"47",0.35,0.526850828729282,0.0149153700912116,0.00149153700912116,"weighted","COPD_IFNpositive"
"48",0.4,0.468204419889503,0.0147616861768783,0.00147616861768783,"weighted","COPD_IFNpositive"
"49",0.45,0.413977900552486,0.0139648902163794,0.00139648902163794,"weighted","COPD_IFNpositive"
"50",0.5,0.355331491712707,0.015179564421962,0.0015179564421962,"weighted","COPD_IFNpositive"
"51",0.55,0.306381215469613,0.0148844081071218,0.00148844081071218,"weighted","COPD_IFNpositive"
"52",0.6,0.256408839779006,0.0171522563262497,0.00171522563262497,"weighted","COPD_IFNpositive"
"53",0.65,0.209171270718232,0.0166260339593779,0.00166260339593779,"weighted","COPD_IFNpositive"
"54",0.7,0.164254143646409,0.0136714751034751,0.00136714751034751,"weighted","COPD_IFNpositive"
"55",0.75,0.127348066298343,0.0148450241978819,0.00148450241978819,"weighted","COPD_IFNpositive"
"56",0.8,0.0859668508287293,0.0132060788083135,0.00132060788083135,"weighted","COPD_IFNpositive"
"57",0.85,0.0566022099447514,0.0122756953624414,0.00122756953624414,"weighted","COPD_IFNpositive"
"58",0.9,0.029585635359116,0.00981033320549264,0.000981033320549264,"weighted","COPD_IFNpositive"
"59",0.95,0.00837016574585635,0.00621374866887082,0.000621374866887082,"weighted","COPD_IFNpositive"
"60",1,0,0,0,"weighted","COPD_IFNpositive"
"61",0.05,0.919668508287293,0.00705301575767071,0.000705301575767071,"unweighted","COPD_IFNpositive"
"62",0.1,0.852430939226519,0.00812460056948278,0.000812460056948278,"unweighted","COPD_IFNpositive"
"63",0.15,0.784917127071823,0.0116011469115637,0.00116011469115637,"unweighted","COPD_IFNpositive"
"64",0.2,0.719944751381215,0.0114927375727279,0.00114927375727279,"unweighted","COPD_IFNpositive"
"65",0.25,0.656022099447514,0.0121239636026761,0.00121239636026761,"unweighted","COPD_IFNpositive"
"66",0.3,0.589309392265193,0.0115347468193891,0.00115347468193891,"unweighted","COPD_IFNpositive"
"67",0.35,0.530386740331492,0.0134301777570276,0.00134301777570276,"unweighted","COPD_IFNpositive"
"68",0.4,0.470939226519337,0.01372807715531,0.001372807715531,"unweighted","COPD_IFNpositive"
"69",0.45,0.415,0.0120562233293357,0.00120562233293357,"unweighted","COPD_IFNpositive"
"70",0.5,0.359475138121547,0.0149441533299516,0.00149441533299516,"unweighted","COPD_IFNpositive"
"71",0.55,0.307430939226519,0.0162945585980711,0.00162945585980711,"unweighted","COPD_IFNpositive"
"72",0.6,0.257044198895028,0.0147819324782303,0.00147819324782303,"unweighted","COPD_IFNpositive"
"73",0.65,0.208425414364641,0.0156875921154704,0.00156875921154704,"unweighted","COPD_IFNpositive"
"74",0.7,0.169116022099448,0.0162627624130572,0.00162627624130572,"unweighted","COPD_IFNpositive"
"75",0.75,0.125994475138122,0.0151401082568078,0.00151401082568078,"unweighted","COPD_IFNpositive"
"76",0.8,0.0910220994475138,0.0137162528093501,0.00137162528093501,"unweighted","COPD_IFNpositive"
"77",0.85,0.0575966850828729,0.0112869711529754,0.00112869711529754,"unweighted","COPD_IFNpositive"
"78",0.9,0.0297790055248619,0.00999932320541247,0.000999932320541247,"unweighted","COPD_IFNpositive"
"79",0.95,0.00853591160220994,0.00596875983541881,0.000596875983541881,"unweighted","COPD_IFNpositive"
"80",1,0,0,0,"unweighted","COPD_IFNpositive"
"81",0.05,0.939139784946237,0.00448061256553898,0.000448061256553898,"weighted","TB_IFNpositive"
"82",0.1,0.883655913978495,0.00633700381364643,0.000633700381364643,"weighted","TB_IFNpositive"
"83",0.15,0.826559139784946,0.00707085722535028,0.000707085722535028,"weighted","TB_IFNpositive"
"84",0.2,0.772284946236559,0.00847748779288313,0.000847748779288313,"weighted","TB_IFNpositive"
"85",0.25,0.715779569892473,0.00856792876472984,0.000856792876472984,"weighted","TB_IFNpositive"
"86",0.3,0.658494623655914,0.00853433954290742,0.000853433954290742,"weighted","TB_IFNpositive"
"87",0.35,0.606021505376344,0.0100532828022735,0.00100532828022735,"weighted","TB_IFNpositive"
"88",0.4,0.549247311827957,0.00913706921747471,0.000913706921747471,"weighted","TB_IFNpositive"
"89",0.45,0.50008064516129,0.0100470004418086,0.00100470004418086,"weighted","TB_IFNpositive"
"90",0.5,0.444381720430108,0.00978375112205702,0.000978375112205702,"weighted","TB_IFNpositive"
"91",0.55,0.391747311827957,0.0102654843480019,0.00102654843480019,"weighted","TB_IFNpositive"
"92",0.6,0.341612903225806,0.0113193779649932,0.00113193779649932,"weighted","TB_IFNpositive"
"93",0.65,0.292284946236559,0.00918467722023734,0.000918467722023734,"weighted","TB_IFNpositive"
"94",0.7,0.243951612903226,0.0108431017420923,0.00108431017420923,"weighted","TB_IFNpositive"
"95",0.75,0.19508064516129,0.0111148878370977,0.00111148878370977,"weighted","TB_IFNpositive"
"96",0.8,0.147903225806452,0.0089929360194894,0.00089929360194894,"weighted","TB_IFNpositive"
"97",0.85,0.105456989247312,0.00895124147489767,0.000895124147489767,"weighted","TB_IFNpositive"
"98",0.9,0.0644086021505376,0.00802295506890051,0.000802295506890051,"weighted","TB_IFNpositive"
"99",0.95,0.0273387096774194,0.00575731505278459,0.000575731505278459,"weighted","TB_IFNpositive"
"100",1,0,0,0,"weighted","TB_IFNpositive"
"101",0.05,0.941505376344086,0.00450660241556891,0.000450660241556891,"unweighted","TB_IFNpositive"
"102",0.1,0.885591397849462,0.00579856175237657,0.000579856175237657,"unweighted","TB_IFNpositive"
"103",0.15,0.827849462365591,0.0077734295392388,0.00077734295392388,"unweighted","TB_IFNpositive"
"104",0.2,0.774220430107527,0.00829646349201794,0.000829646349201794,"unweighted","TB_IFNpositive"
"105",0.25,0.716827956989247,0.00819666535825656,0.000819666535825656,"unweighted","TB_IFNpositive"
"106",0.3,0.65997311827957,0.00924519457905175,0.000924519457905175,"unweighted","TB_IFNpositive"
"107",0.35,0.60758064516129,0.00924902295605036,0.000924902295605036,"unweighted","TB_IFNpositive"
"108",0.4,0.553844086021505,0.00914166152254226,0.000914166152254226,"unweighted","TB_IFNpositive"
"109",0.45,0.499731182795699,0.00937849143823821,0.000937849143823821,"unweighted","TB_IFNpositive"
"110",0.5,0.445510752688172,0.0110265375134861,0.00110265375134861,"unweighted","TB_IFNpositive"
"111",0.55,0.392177419354839,0.00981503560810708,0.000981503560810708,"unweighted","TB_IFNpositive"
"112",0.6,0.343118279569892,0.0111494100235079,0.00111494100235079,"unweighted","TB_IFNpositive"
"113",0.65,0.294220430107527,0.010431382532119,0.0010431382532119,"unweighted","TB_IFNpositive"
"114",0.7,0.246344086021505,0.0102773164935518,0.00102773164935518,"unweighted","TB_IFNpositive"
"115",0.75,0.195967741935484,0.0105436119703224,0.00105436119703224,"unweighted","TB_IFNpositive"
"116",0.8,0.148494623655914,0.0108279110955686,0.00108279110955686,"unweighted","TB_IFNpositive"
"117",0.85,0.104059139784946,0.00916430976389784,0.000916430976389784,"unweighted","TB_IFNpositive"
"118",0.9,0.0635483870967742,0.00866673646978523,0.000866673646978523,"unweighted","TB_IFNpositive"
"119",0.95,0.0271236559139785,0.00613824552997104,0.000613824552997104,"unweighted","TB_IFNpositive"
"120",1,0,0,0,"unweighted","TB_IFNpositive"
